employee_id,recommended_learning_plan
599,Executive Communication & Stakeholder Alignment (C-SOFT-02)
600,Critical Thinking & Complex Decision Making (C-SOFT-01)
601,Critical Thinking & Complex Decision Making (C-SOFT-01)
602,Executive Communication & Stakeholder Alignment (C-SOFT-02)
604,Executive Communication & Stakeholder Alignment (C-SOFT-02)
605,Critical Thinking & Complex Decision Making (C-SOFT-01)
606,Executive Communication & Stakeholder Alignment (C-SOFT-02)
608,Executive Communication & Stakeholder Alignment (C-SOFT-02)
611,Executive Communication & Stakeholder Alignment (C-SOFT-02)
612,Executive Communication & Stakeholder Alignment (C-SOFT-02)
613,Critical Thinking & Complex Decision Making (C-SOFT-01)
614,Critical Thinking & Complex Decision Making (C-SOFT-01)
615,Executive Communication & Stakeholder Alignment (C-SOFT-02)
616,Executive Communication & Stakeholder Alignment (C-SOFT-02)
618,Critical Thinking & Complex Decision Making (C-SOFT-01)
620,Executive Communication & Stakeholder Alignment (C-SOFT-02)
621,Critical Thinking & Complex Decision Making (C-SOFT-01)
622,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
623,Critical Thinking & Complex Decision Making (C-SOFT-01)
624,Critical Thinking & Complex Decision Making (C-SOFT-01)
625,Critical Thinking & Complex Decision Making (C-SOFT-01)
626,Executive Communication & Stakeholder Alignment (C-SOFT-02)
630,Executive Communication & Stakeholder Alignment (C-SOFT-02)
631,Executive Communication & Stakeholder Alignment (C-SOFT-02)
632,Executive Communication & Stakeholder Alignment (C-SOFT-02)
634,Executive Communication & Stakeholder Alignment (C-SOFT-02)
635,Critical Thinking & Complex Decision Making (C-SOFT-01)
638,Executive Communication & Stakeholder Alignment (C-SOFT-02)
639,Critical Thinking & Complex Decision Making (C-SOFT-01)
641,Critical Thinking & Complex Decision Making (C-SOFT-01)
643,Executive Communication & Stakeholder Alignment (C-SOFT-02)
644,Critical Thinking & Complex Decision Making (C-SOFT-01)
645,Critical Thinking & Complex Decision Making (C-SOFT-01)
647,Executive Communication & Stakeholder Alignment (C-SOFT-02)
648,Critical Thinking & Complex Decision Making (C-SOFT-01)
649,Executive Communication & Stakeholder Alignment (C-SOFT-02)
650,Executive Communication & Stakeholder Alignment (C-SOFT-02)
652,Executive Communication & Stakeholder Alignment (C-SOFT-02)
653,Executive Communication & Stakeholder Alignment (C-SOFT-02)
655,Critical Thinking & Complex Decision Making (C-SOFT-01)
656,Executive Communication & Stakeholder Alignment (C-SOFT-02)
657,Critical Thinking & Complex Decision Making (C-SOFT-01)
659,Executive Communication & Stakeholder Alignment (C-SOFT-02)
661,Critical Thinking & Complex Decision Making (C-SOFT-01)
662,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Applied Machine Learning & Deep Learning (C-TECH-03)
663,Executive Communication & Stakeholder Alignment (C-SOFT-02)
664,Executive Communication & Stakeholder Alignment (C-SOFT-02)
665,Executive Communication & Stakeholder Alignment (C-SOFT-02)
666,Executive Communication & Stakeholder Alignment (C-SOFT-02)
667,Critical Thinking & Complex Decision Making (C-SOFT-01)
669,Executive Communication & Stakeholder Alignment (C-SOFT-02)
671,Critical Thinking & Complex Decision Making (C-SOFT-01)
675,Executive Communication & Stakeholder Alignment (C-SOFT-02)
677,Executive Communication & Stakeholder Alignment (C-SOFT-02)
679,Executive Communication & Stakeholder Alignment (C-SOFT-02)
680,Executive Communication & Stakeholder Alignment (C-SOFT-02)
682,Critical Thinking & Complex Decision Making (C-SOFT-01)
683,Critical Thinking & Complex Decision Making (C-SOFT-01)
684,Executive Communication & Stakeholder Alignment (C-SOFT-02)
686,Critical Thinking & Complex Decision Making (C-SOFT-01)
689,Critical Thinking & Complex Decision Making (C-SOFT-01)
690,Critical Thinking & Complex Decision Making (C-SOFT-01)
691,Critical Thinking & Complex Decision Making (C-SOFT-01)
692,Critical Thinking & Complex Decision Making (C-SOFT-01)
698,Critical Thinking & Complex Decision Making (C-SOFT-01)
699,Critical Thinking & Complex Decision Making (C-SOFT-01)
700,Critical Thinking & Complex Decision Making (C-SOFT-01)
701,Critical Thinking & Complex Decision Making (C-SOFT-01)
702,Executive Communication & Stakeholder Alignment (C-SOFT-02)
704,Executive Communication & Stakeholder Alignment (C-SOFT-02)
705,Executive Communication & Stakeholder Alignment (C-SOFT-02)
707,Executive Communication & Stakeholder Alignment (C-SOFT-02)
709,Executive Communication & Stakeholder Alignment (C-SOFT-02)
710,Critical Thinking & Complex Decision Making (C-SOFT-01)
712,Critical Thinking & Complex Decision Making (C-SOFT-01)
714,Critical Thinking & Complex Decision Making (C-SOFT-01)
715,Executive Communication & Stakeholder Alignment (C-SOFT-02)
716,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
717,Critical Thinking & Complex Decision Making (C-SOFT-01)
720,Critical Thinking & Complex Decision Making (C-SOFT-01)
721,Critical Thinking & Complex Decision Making (C-SOFT-01)
722,Executive Communication & Stakeholder Alignment (C-SOFT-02)
723,Critical Thinking & Complex Decision Making (C-SOFT-01)
724,Executive Communication & Stakeholder Alignment (C-SOFT-02)
725,Executive Communication & Stakeholder Alignment (C-SOFT-02)
727,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
728,Executive Communication & Stakeholder Alignment (C-SOFT-02)
729,Critical Thinking & Complex Decision Making (C-SOFT-01)
730,Critical Thinking & Complex Decision Making (C-SOFT-01)
731,Critical Thinking & Complex Decision Making (C-SOFT-01)
732,Executive Communication & Stakeholder Alignment (C-SOFT-02)
733,Executive Communication & Stakeholder Alignment (C-SOFT-02)
734,Executive Communication & Stakeholder Alignment (C-SOFT-02)
738,Executive Communication & Stakeholder Alignment (C-SOFT-02)
741,Critical Thinking & Complex Decision Making (C-SOFT-01)
742,Critical Thinking & Complex Decision Making (C-SOFT-01)
743,Executive Communication & Stakeholder Alignment (C-SOFT-02)
744,Critical Thinking & Complex Decision Making (C-SOFT-01)
746,Executive Communication & Stakeholder Alignment (C-SOFT-02)
747,Critical Thinking & Complex Decision Making (C-SOFT-01)
749,Executive Communication & Stakeholder Alignment (C-SOFT-02)
752,Critical Thinking & Complex Decision Making (C-SOFT-01)
754,Executive Communication & Stakeholder Alignment (C-SOFT-02)
757,Executive Communication & Stakeholder Alignment (C-SOFT-02)
758,Critical Thinking & Complex Decision Making (C-SOFT-01)
760,Executive Communication & Stakeholder Alignment (C-SOFT-02)
762,Critical Thinking & Complex Decision Making (C-SOFT-01)
763,Critical Thinking & Complex Decision Making (C-SOFT-01)
764,Executive Communication & Stakeholder Alignment (C-SOFT-02)
766,Executive Communication & Stakeholder Alignment (C-SOFT-02)
769,Critical Thinking & Complex Decision Making (C-SOFT-01)
771,Executive Communication & Stakeholder Alignment (C-SOFT-02)
772,Executive Communication & Stakeholder Alignment (C-SOFT-02)
773,Critical Thinking & Complex Decision Making (C-SOFT-01)
775,Executive Communication & Stakeholder Alignment (C-SOFT-02)
776,Executive Communication & Stakeholder Alignment (C-SOFT-02)
780,Applied Machine Learning & Deep Learning (C-TECH-03)
781,Executive Communication & Stakeholder Alignment (C-SOFT-02)
783,Critical Thinking & Complex Decision Making (C-SOFT-01)
784,Executive Communication & Stakeholder Alignment (C-SOFT-02)
785,Critical Thinking & Complex Decision Making (C-SOFT-01)
786,Executive Communication & Stakeholder Alignment (C-SOFT-02)
787,Critical Thinking & Complex Decision Making (C-SOFT-01)
789,Executive Communication & Stakeholder Alignment (C-SOFT-02)
791,Executive Communication & Stakeholder Alignment (C-SOFT-02)
792,Executive Communication & Stakeholder Alignment (C-SOFT-02)
793,Executive Communication & Stakeholder Alignment (C-SOFT-02)
796,Executive Communication & Stakeholder Alignment (C-SOFT-02)
797,Executive Communication & Stakeholder Alignment (C-SOFT-02)
799,Executive Communication & Stakeholder Alignment (C-SOFT-02)
800,Executive Communication & Stakeholder Alignment (C-SOFT-02)
802,Executive Communication & Stakeholder Alignment (C-SOFT-02)
803,Critical Thinking & Complex Decision Making (C-SOFT-01)
804,Executive Communication & Stakeholder Alignment (C-SOFT-02)
805,Critical Thinking & Complex Decision Making (C-SOFT-01)
806,Executive Communication & Stakeholder Alignment (C-SOFT-02)
807,Critical Thinking & Complex Decision Making (C-SOFT-01)
808,Critical Thinking & Complex Decision Making (C-SOFT-01)
809,Executive Communication & Stakeholder Alignment (C-SOFT-02)
811,Critical Thinking & Complex Decision Making (C-SOFT-01)
812,Critical Thinking & Complex Decision Making (C-SOFT-01)
813,Executive Communication & Stakeholder Alignment (C-SOFT-02)
815,Executive Communication & Stakeholder Alignment (C-SOFT-02)
816,Executive Communication & Stakeholder Alignment (C-SOFT-02)
817,Critical Thinking & Complex Decision Making (C-SOFT-01)
819,Critical Thinking & Complex Decision Making (C-SOFT-01)
820,Critical Thinking & Complex Decision Making (C-SOFT-01)
823,Executive Communication & Stakeholder Alignment (C-SOFT-02)
824,Critical Thinking & Complex Decision Making (C-SOFT-01)
825,Agile Project Leadership & Team Dynamics (C-SOFT-03)
826,Executive Communication & Stakeholder Alignment (C-SOFT-02)
827,Executive Communication & Stakeholder Alignment (C-SOFT-02)
828,Critical Thinking & Complex Decision Making (C-SOFT-01)
829,Executive Communication & Stakeholder Alignment (C-SOFT-02)
830,Executive Communication & Stakeholder Alignment (C-SOFT-02)
832,Critical Thinking & Complex Decision Making (C-SOFT-01)
833,Critical Thinking & Complex Decision Making (C-SOFT-01)
834,Critical Thinking & Complex Decision Making (C-SOFT-01)
836,Critical Thinking & Complex Decision Making (C-SOFT-01)
837,Critical Thinking & Complex Decision Making (C-SOFT-01)
838,Critical Thinking & Complex Decision Making (C-SOFT-01)
840,Executive Communication & Stakeholder Alignment (C-SOFT-02)
842,Executive Communication & Stakeholder Alignment (C-SOFT-02)
843,Critical Thinking & Complex Decision Making (C-SOFT-01)
844,Executive Communication & Stakeholder Alignment (C-SOFT-02)
845,Critical Thinking & Complex Decision Making (C-SOFT-01)
846,Executive Communication & Stakeholder Alignment (C-SOFT-02)
847,Critical Thinking & Complex Decision Making (C-SOFT-01)
848,Critical Thinking & Complex Decision Making (C-SOFT-01)
850,Executive Communication & Stakeholder Alignment (C-SOFT-02)
851,Critical Thinking & Complex Decision Making (C-SOFT-01)
852,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
854,Executive Communication & Stakeholder Alignment (C-SOFT-02)
855,Critical Thinking & Complex Decision Making (C-SOFT-01)
856,Executive Communication & Stakeholder Alignment (C-SOFT-02)
857,Critical Thinking & Complex Decision Making (C-SOFT-01)
859,Executive Communication & Stakeholder Alignment (C-SOFT-02)
861,Critical Thinking & Complex Decision Making (C-SOFT-01)
862,Critical Thinking & Complex Decision Making (C-SOFT-01)
864,Executive Communication & Stakeholder Alignment (C-SOFT-02)
865,Critical Thinking & Complex Decision Making (C-SOFT-01)
867,Critical Thinking & Complex Decision Making (C-SOFT-01)
868,Critical Thinking & Complex Decision Making (C-SOFT-01)
869,Executive Communication & Stakeholder Alignment (C-SOFT-02)
872,Critical Thinking & Complex Decision Making (C-SOFT-01)
874,Executive Communication & Stakeholder Alignment (C-SOFT-02)
875,Critical Thinking & Complex Decision Making (C-SOFT-01)
878,Executive Communication & Stakeholder Alignment (C-SOFT-02)
879,Executive Communication & Stakeholder Alignment (C-SOFT-02)
880,Critical Thinking & Complex Decision Making (C-SOFT-01)
881,Applied Machine Learning & Deep Learning (C-TECH-03)
882,Executive Communication & Stakeholder Alignment (C-SOFT-02)
885,Executive Communication & Stakeholder Alignment (C-SOFT-02)
887,Executive Communication & Stakeholder Alignment (C-SOFT-02)
888,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
889,Executive Communication & Stakeholder Alignment (C-SOFT-02)
893,Critical Thinking & Complex Decision Making (C-SOFT-01)
894,Critical Thinking & Complex Decision Making (C-SOFT-01)
895,Executive Communication & Stakeholder Alignment (C-SOFT-02)
896,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
897,Critical Thinking & Complex Decision Making (C-SOFT-01)
899,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
900,Executive Communication & Stakeholder Alignment (C-SOFT-02)
901,Executive Communication & Stakeholder Alignment (C-SOFT-02)
902,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
903,Executive Communication & Stakeholder Alignment (C-SOFT-02)
904,Critical Thinking & Complex Decision Making (C-SOFT-01)
905,Critical Thinking & Complex Decision Making (C-SOFT-01)
909,Executive Communication & Stakeholder Alignment (C-SOFT-02)
910,Critical Thinking & Complex Decision Making (C-SOFT-01)
911,Critical Thinking & Complex Decision Making (C-SOFT-01)
912,Critical Thinking & Complex Decision Making (C-SOFT-01)
913,Executive Communication & Stakeholder Alignment (C-SOFT-02)
916,Executive Communication & Stakeholder Alignment (C-SOFT-02)
918,Critical Thinking & Complex Decision Making (C-SOFT-01)
920,Executive Communication & Stakeholder Alignment (C-SOFT-02)
922,Executive Communication & Stakeholder Alignment (C-SOFT-02)
923,Executive Communication & Stakeholder Alignment (C-SOFT-02)
924,Critical Thinking & Complex Decision Making (C-SOFT-01)
925,Critical Thinking & Complex Decision Making (C-SOFT-01)
926,Critical Thinking & Complex Decision Making (C-SOFT-01)
927,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
930,Executive Communication & Stakeholder Alignment (C-SOFT-02)
932,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
933,Critical Thinking & Complex Decision Making (C-SOFT-01)
934,Critical Thinking & Complex Decision Making (C-SOFT-01)
936,Executive Communication & Stakeholder Alignment (C-SOFT-02)
939,Critical Thinking & Complex Decision Making (C-SOFT-01)
940,Critical Thinking & Complex Decision Making (C-SOFT-01)
941,Critical Thinking & Complex Decision Making (C-SOFT-01)
942,Executive Communication & Stakeholder Alignment (C-SOFT-02)
944,Executive Communication & Stakeholder Alignment (C-SOFT-02)
945,Critical Thinking & Complex Decision Making (C-SOFT-01)
947,Critical Thinking & Complex Decision Making (C-SOFT-01)
949,Executive Communication & Stakeholder Alignment (C-SOFT-02)
950,Critical Thinking & Complex Decision Making (C-SOFT-01)
951,Critical Thinking & Complex Decision Making (C-SOFT-01)
952,Executive Communication & Stakeholder Alignment (C-SOFT-02)
954,Critical Thinking & Complex Decision Making (C-SOFT-01)
956,Executive Communication & Stakeholder Alignment (C-SOFT-02)
957,Critical Thinking & Complex Decision Making (C-SOFT-01)
958,Executive Communication & Stakeholder Alignment (C-SOFT-02)
959,Critical Thinking & Complex Decision Making (C-SOFT-01)
960,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
961,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
964,Applied Machine Learning & Deep Learning (C-TECH-03)
966,Executive Communication & Stakeholder Alignment (C-SOFT-02)
967,Executive Communication & Stakeholder Alignment (C-SOFT-02)
969,Executive Communication & Stakeholder Alignment (C-SOFT-02)
970,Executive Communication & Stakeholder Alignment (C-SOFT-02)
972,Critical Thinking & Complex Decision Making (C-SOFT-01)
974,Critical Thinking & Complex Decision Making (C-SOFT-01)
975,Critical Thinking & Complex Decision Making (C-SOFT-01)
976,Critical Thinking & Complex Decision Making (C-SOFT-01)
977,Applied Machine Learning & Deep Learning (C-TECH-03)
981,Executive Communication & Stakeholder Alignment (C-SOFT-02)
982,Critical Thinking & Complex Decision Making (C-SOFT-01)
983,Critical Thinking & Complex Decision Making (C-SOFT-01)
984,Executive Communication & Stakeholder Alignment (C-SOFT-02)
985,Executive Communication & Stakeholder Alignment (C-SOFT-02)
986,Critical Thinking & Complex Decision Making (C-SOFT-01)
987,Critical Thinking & Complex Decision Making (C-SOFT-01)
990,Executive Communication & Stakeholder Alignment (C-SOFT-02)
991,Executive Communication & Stakeholder Alignment (C-SOFT-02)
992,Critical Thinking & Complex Decision Making (C-SOFT-01)
994,Critical Thinking & Complex Decision Making (C-SOFT-01)
995,Critical Thinking & Complex Decision Making (C-SOFT-01)
996,Executive Communication & Stakeholder Alignment (C-SOFT-02)
997,Critical Thinking & Complex Decision Making (C-SOFT-01)
998,Executive Communication & Stakeholder Alignment (C-SOFT-02)
999,Critical Thinking & Complex Decision Making (C-SOFT-01)
1001,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1002,Critical Thinking & Complex Decision Making (C-SOFT-01)
1003,Critical Thinking & Complex Decision Making (C-SOFT-01)
1004,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1005,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1006,Critical Thinking & Complex Decision Making (C-SOFT-01)
1007,Critical Thinking & Complex Decision Making (C-SOFT-01)
1009,Critical Thinking & Complex Decision Making (C-SOFT-01)
1010,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1011,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1012,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1013,Critical Thinking & Complex Decision Making (C-SOFT-01)
1014,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
1015,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1016,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1017,Critical Thinking & Complex Decision Making (C-SOFT-01)
1018,Critical Thinking & Complex Decision Making (C-SOFT-01)
1019,Critical Thinking & Complex Decision Making (C-SOFT-01)
1022,Critical Thinking & Complex Decision Making (C-SOFT-01)
1024,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1025,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1026,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1027,Critical Thinking & Complex Decision Making (C-SOFT-01)
1028,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1029,Critical Thinking & Complex Decision Making (C-SOFT-01)
1030,Critical Thinking & Complex Decision Making (C-SOFT-01)
1032,Critical Thinking & Complex Decision Making (C-SOFT-01)
1033,Critical Thinking & Complex Decision Making (C-SOFT-01)
1034,Critical Thinking & Complex Decision Making (C-SOFT-01)
1035,Critical Thinking & Complex Decision Making (C-SOFT-01)
1036,Critical Thinking & Complex Decision Making (C-SOFT-01)
1037,Critical Thinking & Complex Decision Making (C-SOFT-01)
1038,Critical Thinking & Complex Decision Making (C-SOFT-01)
1039,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1040,Critical Thinking & Complex Decision Making (C-SOFT-01)
1042,Critical Thinking & Complex Decision Making (C-SOFT-01)
1043,Critical Thinking & Complex Decision Making (C-SOFT-01)
1044,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1045,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1046,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1047,Critical Thinking & Complex Decision Making (C-SOFT-01)
1048,Critical Thinking & Complex Decision Making (C-SOFT-01)
1049,Critical Thinking & Complex Decision Making (C-SOFT-01)
1050,Critical Thinking & Complex Decision Making (C-SOFT-01)
1052,Critical Thinking & Complex Decision Making (C-SOFT-01)
1053,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1055,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1056,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1060,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1061,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1062,Critical Thinking & Complex Decision Making (C-SOFT-01)
1066,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1068,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1069,Critical Thinking & Complex Decision Making (C-SOFT-01)
1070,Critical Thinking & Complex Decision Making (C-SOFT-01)
1071,Critical Thinking & Complex Decision Making (C-SOFT-01)
1073,Critical Thinking & Complex Decision Making (C-SOFT-01)
1074,Critical Thinking & Complex Decision Making (C-SOFT-01)
1076,Critical Thinking & Complex Decision Making (C-SOFT-01)
1077,Critical Thinking & Complex Decision Making (C-SOFT-01)
1079,Critical Thinking & Complex Decision Making (C-SOFT-01)
1080,Applied Machine Learning & Deep Learning (C-TECH-03)
1081,Critical Thinking & Complex Decision Making (C-SOFT-01)
1082,Critical Thinking & Complex Decision Making (C-SOFT-01)
1083,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
1084,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1085,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1088,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1092,Critical Thinking & Complex Decision Making (C-SOFT-01)
1094,Critical Thinking & Complex Decision Making (C-SOFT-01)
1096,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1097,Critical Thinking & Complex Decision Making (C-SOFT-01)
1098,Critical Thinking & Complex Decision Making (C-SOFT-01)
1099,Critical Thinking & Complex Decision Making (C-SOFT-01)
1100,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1101,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1102,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1103,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1105,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1106,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1107,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1108,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1109,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1111,Critical Thinking & Complex Decision Making (C-SOFT-01)
1113,Critical Thinking & Complex Decision Making (C-SOFT-01)
1114,Critical Thinking & Complex Decision Making (C-SOFT-01)
1115,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1116,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1117,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1118,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
1119,Critical Thinking & Complex Decision Making (C-SOFT-01)
1120,Critical Thinking & Complex Decision Making (C-SOFT-01)
1121,Critical Thinking & Complex Decision Making (C-SOFT-01)
1124,Critical Thinking & Complex Decision Making (C-SOFT-01)
1125,Critical Thinking & Complex Decision Making (C-SOFT-01)
1126,Critical Thinking & Complex Decision Making (C-SOFT-01)
1127,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
1128,Critical Thinking & Complex Decision Making (C-SOFT-01)
1131,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1132,Critical Thinking & Complex Decision Making (C-SOFT-01)
1133,Critical Thinking & Complex Decision Making (C-SOFT-01)
1135,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1136,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1137,Critical Thinking & Complex Decision Making (C-SOFT-01)
1138,Critical Thinking & Complex Decision Making (C-SOFT-01)
1140,Critical Thinking & Complex Decision Making (C-SOFT-01)
1143,Critical Thinking & Complex Decision Making (C-SOFT-01)
1148,Critical Thinking & Complex Decision Making (C-SOFT-01)
1150,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1152,Critical Thinking & Complex Decision Making (C-SOFT-01)
1154,Critical Thinking & Complex Decision Making (C-SOFT-01)
1156,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1157,Critical Thinking & Complex Decision Making (C-SOFT-01)
1158,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1160,Critical Thinking & Complex Decision Making (C-SOFT-01)
1161,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
1162,Critical Thinking & Complex Decision Making (C-SOFT-01)
1163,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1164,Critical Thinking & Complex Decision Making (C-SOFT-01)
1165,Critical Thinking & Complex Decision Making (C-SOFT-01)
1166,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1167,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1171,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1172,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1173,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
1175,Critical Thinking & Complex Decision Making (C-SOFT-01)
1177,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
1179,Critical Thinking & Complex Decision Making (C-SOFT-01)
1180,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1182,Critical Thinking & Complex Decision Making (C-SOFT-01)
1184,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1185,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1188,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1190,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1191,Critical Thinking & Complex Decision Making (C-SOFT-01)
1192,Critical Thinking & Complex Decision Making (C-SOFT-01)
1193,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1195,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1196,Critical Thinking & Complex Decision Making (C-SOFT-01)
1198,Critical Thinking & Complex Decision Making (C-SOFT-01)
1200,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1201,Critical Thinking & Complex Decision Making (C-SOFT-01)
1202,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1203,Critical Thinking & Complex Decision Making (C-SOFT-01)
1204,Critical Thinking & Complex Decision Making (C-SOFT-01)
1206,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1207,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1210,Applied Machine Learning & Deep Learning (C-TECH-03)
1211,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1212,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1215,Critical Thinking & Complex Decision Making (C-SOFT-01)
1216,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1217,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1218,Critical Thinking & Complex Decision Making (C-SOFT-01)
1219,Critical Thinking & Complex Decision Making (C-SOFT-01)
1220,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1221,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1224,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1225,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1226,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1228,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1231,Critical Thinking & Complex Decision Making (C-SOFT-01)
1233,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1234,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1235,Applied Machine Learning & Deep Learning (C-TECH-03)
1237,Critical Thinking & Complex Decision Making (C-SOFT-01)
1238,Critical Thinking & Complex Decision Making (C-SOFT-01)
1239,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1240,Critical Thinking & Complex Decision Making (C-SOFT-01)
1241,Critical Thinking & Complex Decision Making (C-SOFT-01)
1242,Critical Thinking & Complex Decision Making (C-SOFT-01)
1243,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1244,Critical Thinking & Complex Decision Making (C-SOFT-01)
1245,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1246,Applied Machine Learning & Deep Learning (C-TECH-03)
1248,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1249,Executive Communication & Stakeholder Alignment (C-SOFT-02)
1250,Critical Thinking & Complex Decision Making (C-SOFT-01)
